id,label,split,source,source_path,sha256,phash,image
pets_cat_000,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\153.jpg,01ee16f1fd03d81b544ad31d660f5b6fe90cb9cd61fb3f3f854895394a3635de,d839e6e5ca8113cb,images/pets_cat_000.jpg
pets_cat_001,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\5660.jpg,1e4d78d62ab14119555095657eea809ce54cc64cd1df179136440aeb97bbec38,bf9c40e0f3814ee6,images/pets_cat_001.jpg
pets_cat_002,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\291.jpg,cce65bc5a3c60c5a170a4485d95d86a85459609f9b450bf90d8c4304690bed01,962a2b4999e5cd3c,images/pets_cat_002.jpg
pets_cat_003,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\5355.jpg,e6c27626382c70c3dc293fa898963b00e62332d6711491d688f9e634ca928ab1,db606398669b4c73,images/pets_cat_003.jpg
pets_cat_004,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\4968.jpg,feb444b59b9745117d13fd4c5faa6a843b23bedda1b443536067bc99a4fb2fe7,bab8c7ddc0c49872,images/pets_cat_004.jpg
pets_cat_005,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\7720.jpg,f8039619838ea8e9b995b3ed90dda67b8c8728389675aa32bb18e3dcaddd9214,c839668dd3a853e6,images/pets_cat_005.jpg
pets_cat_006,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\5869.jpg,91497ae3f2299e420f8d087cb7dfc5df9d337ba4c727d3d1dd62f31a4c104f2b,ae27b108c7174bce,images/pets_cat_006.jpg
pets_cat_007,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\9615.jpg,3c4d881c5930eef07fd0154abf288e4e0cce310e8ed718058b5f980c1cbdc4b2,95b5c4ceca929d4a,images/pets_cat_007.jpg
pets_cat_008,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\10417.jpg,b0f124fdde59a132fae74f459f9c9b23f553e5d6123ddec7850262705186ed8c,de1d820ab0fad1a7,images/pets_cat_008.jpg
pets_cat_009,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\7684.jpg,b7cb7ab2dcdf549fb2c4a3f0281136c7d3f55ae05e752b04affd3e222024ba13,dcbcd398cc30c1d9,images/pets_cat_009.jpg
pets_cat_010,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\4304.jpg,0dc60312930e880c76bfe4f09c4bbc02f8b4ef1192fa6ff82042f66698e11c01,8cac73630f33307b,images/pets_cat_010.jpg
pets_cat_011,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\2103.jpg,207958b1900ca13e1b82a671b871e2fd6e1c7aa33c2f7114fa8519da5cebb94d,951c3e9a7299498f,images/pets_cat_011.jpg
pets_cat_012,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\7215.jpg,379631eed825cc9d3ddc8e38fd1a3f530a61fdc4c00abf5a58672b3498cfd2cc,cece7c999092c371,images/pets_cat_012.jpg
pets_cat_013,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\6055.jpg,c2a396ecca4a917442d638d991576e2900378119163ee4c8951e999bae45b3d6,cc7a8651be2d11e3,images/pets_cat_013.jpg
pets_cat_014,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\1836.jpg,1bb61126c66f351d9ab92373ab3da90b06adca2bf04327ec34133980b6a0bdf2,8d647523b783fc48,images/pets_cat_014.jpg
pets_cat_015,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\2594.jpg,1ae0082cc4c18bcad17a6729503a01d024548c8eb200b57cffd4eaebe1298f37,bf94d82c94da8764,images/pets_cat_015.jpg
pets_cat_016,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\1265.jpg,8799341bd8818452f49b808cb566485b18d4c18a80dc88286e1771cd1376c909,cb94233c89338fcb,images/pets_cat_016.jpg
pets_cat_017,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\7949.jpg,fb1ae594d28b9a12af11a63ba779f1d8b8739adbb164e375a0dcfb7bd0cb8da8,f41e9336ce307c31,images/pets_cat_017.jpg
pets_cat_018,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\4901.jpg,db35588e0916e9fd437ad9423d178efbb0980f3437d6dff26cdafa600f868d1c,c6e36b96f2789940,images/pets_cat_018.jpg
pets_cat_019,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\8090.jpg,1ce2df4862ad8d2742b4910e3724a179953eb8979f8d740d22d1514fa8a62ff4,de77a06918d80fb4,images/pets_cat_019.jpg
pets_cat_020,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\12126.jpg,545fd39d24322db23e4bced16f31d003343106f910e8a79290b5510d8fa70aac,d7ea3998c622a1d3,images/pets_cat_020.jpg
pets_cat_021,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\12283.jpg,c2b2b1a8ca950b2ff5d3940c29ea3ed61cfd26468c7d33571cd4af3579d31576,ea87a956e11e817a,images/pets_cat_021.jpg
pets_cat_022,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\10185.jpg,2665064907549c661f6b2213b2679287061d015b292f8e6f3356fb9f0e000fa6,a432b2364b49bb6d,images/pets_cat_022.jpg
pets_cat_023,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\761.jpg,2636696090d1cc89b8227e0bc410aaab0c8362554483ea624641755888423bf9,eb4ee5648724d235,images/pets_cat_023.jpg
pets_cat_024,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\7084.jpg,c9ebf5131fd1ba06f1ecb2d4c366e58743d6a68b70331b48b93b3b0fc72dfc01,c01c33ff1e234763,images/pets_cat_024.jpg
pets_cat_025,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\10283.jpg,db44fe0fe0a7359a1a3bcd7c830dc26f7bab8f6d0ee93819c82f1f1b1c35267a,add6c0adba1b5264,images/pets_cat_025.jpg
pets_cat_026,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\67.jpg,b8fe2359f2eb61b312d318cd60db731a3d38b3b70365acb0264e02cebddcf63d,d3b4c41f98693566,images/pets_cat_026.jpg
pets_cat_027,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\4483.jpg,d28de7dde4a0080de3583c06ad6a16e3c38e91a6ea3b6480e15837e44f7a3133,c7b4b14ae6e816e1,images/pets_cat_027.jpg
pets_cat_028,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\5066.jpg,757fc951485faedb95a644913c7c1d5e77e8472dbac0cd9bb936a03e0bff6443,8080df6fc6dacd46,images/pets_cat_028.jpg
pets_cat_029,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\12280.jpg,3b0ef8e47cea84b39b178c5098f75cc70e6e98777a091599189fb2a5b9e7e401,a5125a4fc0e19f2f,images/pets_cat_029.jpg
pets_cat_030,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\6539.jpg,8def503d1719e0c524bc21171e453a65da3056477aa79fbf28d10d8731dcc572,e82d85359e3079da,images/pets_cat_030.jpg
pets_cat_031,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\695.jpg,cb77adbaa746579f3c5953e5b4e1095512f12d237061f671d94b4a834d450358,d959c91c9e70b646,images/pets_cat_031.jpg
pets_cat_032,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\5632.jpg,9ac50802705592392fc0b6c8a7feb1073d777ed59531e9b648900db2e6f428f0,a9a4d68edf92b094,images/pets_cat_032.jpg
pets_cat_033,cat,train,bhavikjikadara/dog-and-cat-classification-dataset,PetImages\Cat\919.jpg,95f3e4bf44d265d6be408558c6b5a03fe7754554f08b79fbfb88d92441861470,ffcb90cac8e0e074,images/pets_cat_033.jpg
